2016-2017球季上場數據
日期,對手,上場時間,進球,助攻,射正率,黃牌數
10/9/2016,奧薩蘇納,66,1,0,50.0%,0
21/9/2016,比亞雷亞爾,90,0,0,50.0%,1
24/9/2016,拉斯帕爾瑪斯,72,0,0,16.7%,0
2/10/2016,艾伊巴,90,0,1,25.0%,0
15/10/2016,皇家貝提斯,90,1,1,25.0%,0
23/10/2016,畢爾包,90,0,0,22.2%,0
29/10/2016,阿拉維斯,90,3,0,50.0%,0
6/11/2016,萊加內斯,90,0,0,0.0%,1
19/11/2016,馬德里競技,83,3,0,100.0%,1
26/11/2016,希洪競技,90,2,0,71.4%,0
3/12/2016,巴塞隆納,90,0,0,50.0%,0
7/1/2017,格拉納達CF,90,1,0,40.0%,0
15/1/2017,塞維亞,90,1,0,60.0%,0
21/1/2017,馬拉加,90,0,0,100.0%,0
29/1/2017,皇家社會,90,1,1,50.0%,0
11/2/2017,奧薩蘇納,90,1,0,50.0%,0
18/2/2017,西班牙人,90,0,0,0.0%,0
22/2/2017,瓦倫西亞,90,1,0,25.0%,0
26/2/2017,比亞雷亞爾,90,1,0,22.2%,0
1/3/2017,拉斯帕爾瑪斯,90,2,0,25.0%,1
12/3/2017,皇家貝提斯,90,1,0,33.3%,0
18/3/2017,畢爾包,79,0,2,50.0%,0
2/4/2017,阿拉維斯,90,0,1,14.3%,0
8/4/2017,馬德里競技,90,0,0,50.0%,0
23/4/2017,巴塞隆納,90,0,0,37.5%,0
29/4/2017,瓦倫西亞,90,1,0,33.3%,0
14/5/2017,塞維亞,90,2,0,75.0%,0
17/5/2017,塞爾塔維戈,84,2,0,66.7%,0
21/5/2017,馬拉加,90,1,0,66.7%,0
