2016-2017²y©u¤W³õ¼Æ¾Ú
¤é´Á,¹ï¤â,µ²ªG,¤W³õ®É¶¡,±o¤À,ÄxªO,§U§ð,§ÛºI,¤õÁç,¥¢»~,¥Ç³W,Âù¤Q,¤j¤T¤¸,©R¤¤²v,¤T¤À²y©R¤¤²v
10/25,°¨¨ë,­t100-129,34,26,3,4,0,0,4,1,§_,§_,0.500,0.300
10/28,@ñÏõ|,³Ó122-114,34,23,1,8,1,0,4,3,§_,§_,0.421,0.400
10/30,@¤Ó¶§,³Ó106-100,34,28,1,3,0,0,1,5,§_,§_,0.529,0.625
11/01,@©Ý¯îªÌ,³Ó127-104,30,28,4,3,1,0,4,3,§_,§_,0.476,0.500
11/03,¹p¾^,³Ó122-96,30,21,1,7,2,1,1,1,§_,§_,0.429,0.333
11/04,@´ò¤H,­t97-117,31,13,8,10,2,1,2,3,¬O,§_,0.294,0.000
11/07,ñÏõ|,³Ó116-106,36,46,5,5,2,0,4,2,§_,§_,0.615,0.765
11/09,¤p¤û,³Ó116-95,31,24,3,6,1,0,5,1,§_,§_,0.667,0.500
11/10,@ª÷¶ô,³Ó125-101,30,33,5,6,1,0,4,1,§_,§_,0.588,0.538
11/13,¤Ó¶§,³Ó133-120,37,30,6,6,2,0,3,2,§_,§_,0.529,0.556
11/16,@¼ÉÀs,³Ó127-121,37,35,3,7,1,0,3,3,§_,§_,0.526,0.333
11/18,@¶ëº¸¸¦§J,³Ó104-88,36,16,3,8,4,1,2,4,§_,§_,0.350,0.200
11/19,@¤½³À,³Ó124-121,35,20,5,5,1,0,3,4,§_,§_,0.333,0.091
11/21,@·È°¨,³Ó120-83,30,22,6,6,1,0,1,1,§_,§_,0.545,0.333
11/23,´ò¤H,³Ó149-106,29,31,5,9,1,0,1,1,§_,§_,0.611,0.583
11/25,@´ò¤H,³Ó109-85,36,24,5,5,3,0,3,1,§_,§_,0.471,0.400
11/26,¦Ç¯T,³Ó115-102,37,34,8,6,1,0,6,4,§_,§_,0.684,0.500
11/28,¦ÑÆN,³Ó105-100,38,25,3,3,2,0,3,2,§_,§_,0.353,0.364
12/01,¤õ½b,­t127-132,38,28,3,5,3,1,5,6,§_,§_,0.409,0.308
12/03,¤Ó¶§,³Ó138-109,30,31,2,1,1,0,3,2,§_,§_,0.667,0.714
12/05,·È°¨,³Ó142-106,29,13,4,11,2,1,0,4,¬O,§_,0.400,0.286
12/07,@§Ö¸¥,³Ó115-98,33,19,4,6,7,0,3,3,§_,§_,0.438,0.000
12/08,@Àï¤h,³Ó106-99,36,26,5,2,2,0,3,2,§_,§_,0.438,0.333
12/10,@¦Çºµ,­t89-110,31,17,8,3,0,0,4,3,§_,§_,0.286,0.273
12/11,@¦Ç¯T,³Ó116-108,32,22,4,9,1,0,0,3,§_,§_,0.462,0.400
12/13,@ñÏõ|,³Ó113-109,34,30,4,7,1,0,2,2,§_,§_,0.478,0.556
12/15,¥§§J,³Ó103-90,34,8,10,8,1,0,3,0,§_,§_,0.214,0.250
12/17,©Ý¯îªÌ,³Ó135-90,27,19,3,6,0,0,3,3,§_,§_,0.545,0.625
12/20,Àï¤h,³Ó104-74,30,25,3,4,3,0,0,0,§_,§_,0.444,0.444
12/22,@Äxºô,³Ó117-101,33,15,2,7,5,0,2,5,§_,§_,0.316,0.231
