"team","elo","join"
"Brazil",2054.57163912541,1
"Spain",1994.65470730575,1
"France",1974.36226606249,1
"Germany",1959.10615590797,1
"Argentina",1947.03322894782,1
"England",1939.90724843205,1
"Belgium",1889.56091088826,1
"Portugal",1893.82051921834,1
"Peru",1877.81751295138,1
"Colombia",1890.19822663855,1
"Mexico",1853.72727606604,1
"Switzerland",1846.10560030277,1
"Uruguay",1843.11950120522,1
"Croatia",1819.11488307594,1
"Iran",1800.78007758447,1
"Poland",1807.20665327114,1
"Denmark",1752.63429609474,1
"Morocco",1722.16997807715,1
"Australia",1716.11673484862,1
"Senegal",1733.79450888399,1
"Sweden",1736.58823920182,1
"Costa Rica",1734.23329512748,1
"Korea Republic",1701.52832751751,1
"Japan",1692.98927169057,1
"Russia",1731.32616796815,1
"Serbia",1686.69647756448,1
"Egypt",1691.2315474236,1
"Nigeria",1696.65572324428,1
"Tunisia",1694.34423903594,1
"Iceland",1659.5677506007,1
"Panama",1654.12187999222,1
"Saudi Arabia",1614.27981711666,1
