"中文名稱","英文名稱","組別","洲別","FIFA世界排名","抽籤檔次"
"俄羅斯","Russia","A","歐洲",65,1
"沙烏地阿拉伯","Saudi Arabia","A","亞洲",63,4
"埃及","Egypt","A","非洲",30,3
"烏拉圭","Uruguay","A","南美洲",17,2
"葡萄牙","Portugal","B","歐洲",3,1
"西班牙","Spain","B","歐洲",8,2
"摩洛哥","Morocco","B","非洲",48,4
"伊朗","Iran","B","亞洲",34,3
"法國","France","C","歐洲",7,1
"澳洲","Australia","C","亞洲",43,4
"祕魯","Peru","C","南美洲",10,2
"丹麥","Denmark","C","歐洲",19,3
"阿根廷","Argentina","D","南美洲",4,1
"冰島","Iceland","D","歐洲",21,3
"克羅埃西亞","Croatia","D","歐洲",18,2
"奈及利亞","Nigeria","D","非洲",41,4
"巴西","Brazil","E","南美洲",2,1
"瑞士","Switzerland","E","歐洲",11,2
"哥斯大黎加","Costa Rica","E","中北美洲及加勒比海區",22,3
"塞爾維亞","Serbia","E","歐洲",38,4
"德國","Germany","F","歐洲",1,1
"墨西哥","Mexico","F","中北美洲及加勒比海區",16,2
"瑞典","Sweden","F","歐洲",25,3
"南韓","South Korea","F","亞洲",62,4
"比利時","Belgium","G","歐洲",5,1
"巴拿馬","Panama","G","中北美洲及加勒比海區",49,4
"突尼西亞","Tunisia","G","非洲",28,3
"英格蘭","England","G","歐洲",12,2
"波蘭","Poland","H","歐洲",6,1
"塞內加爾","Senegal","H","非洲",32,3
"哥倫比亞","Colombia","H","南美洲",13,2
"日本","Japan","H","亞洲",44,4
