"team","elo","join"
"Scotland",1693.51525136634,0
"England",1913.4013055241,1
"Wales",1704.83691866789,0
"Northern Ireland",1651.78494886722,0
"USA",1789.14777295518,0
"Uruguay",1814.02758974942,1
"Austria",1760.27448467497,0
"Hungary",1594.927237544,0
"Argentina",1924.39565188072,1
"Belgium",1889.7537155672,1
"France",1948.42075465343,1
"Netherlands",1843.18006514783,0
"Czechoslovakia",1681.60969347227,0
"Switzerland",1832.03711507679,1
"Sweden",1740.43970112412,1
"Germany",1934.57432302161,1
"Italy",1835.91541063586,0
"Chile",1824.52401776255,0
"Norway",1635.00999411141,0
"Finland",1617.48304463937,0
"Luxembourg",1440.99024966103,0
"Russia",1717.16208711217,1
"Denmark",1755.00183228763,1
"Brazil",2039.66200979856,1
"Japan",1728.29856829822,1
"Paraguay",1686.96029345487,0
"Canada",1579.0855131544,0
"Estonia",1560.63900871445,0
"Costa Rica",1736.01507078874,1
"Guatemala",1496.04029776163,0
"Spain",1969.25942039036,1
"Poland",1795.86704443433,1
"Yugoslavia",1722.1481404782,0
"New Zealand",1571.18151261204,0
"Romania",1742.70486082114,0
"Latvia",1421.09306930338,0
"Portugal",1883.69790827138,1
"China",1639.96282527436,0
"Australia",1747.21828056562,1
"Lithuania",1428.18637921566,0
"Turkey",1738.62654112175,0
"Mexico",1843.68717094644,1
"Aruba",1275.69721662229,0
"Egypt",1702.15762776525,1
"Haiti",1567.40664985332,0
"Philippines",1425.77397305765,0
"Bulgaria",1628.17704036202,0
"Jamaica",1589.55616338634,0
"Kenya",1482.74377794199,0
"Bolivia",1595.51247649772,0
"Peru",1870.28994245055,1
"Honduras",1625.21142553916,0
"Guyana",1398.22731351369,0
"Uganda",1502.75550390363,0
"Belarus",1579.21954157443,0
"El Salvador",1544.81151784373,0
"Barbados",1359.53298227754,0
"Ireland",1732.12847669088,0
"Trinidad and Tobago",1499.20593800246,0
"Greece",1662.56873066294,0
"Curacao",1471.10647911271,0
"Dominica",1287.33194205886,0
"Guadeloupe",1456.2277730392,0
"Israel",1541.99434561171,0
"Suriname",1461.88712120743,0
"French Guyana",1486.5788098628,0
"Cuba",1401.31847156498,0
"Colombia",1858.79385701021,1
"Ecuador",1735.42496653045,0
"St. Kitts and Nevis",1432.44312651213,0
"Panama",1681.46073294204,1
"Slovakia",1735.61356570159,0
"Manchukuo",1456.01287462203,0
"Croatia",1809.94772478557,1
"Nicaragua",1332.45681414409,0
"Afghanistan",1350.77742221748,0
"India",1458.7659207874,0
"Martinique",1511.73350147243,0
"Zimbabwe",1545.6404325808,0
"Iceland",1689.77733629241,1
"Albania",1564.16933175164,0
"Madagascar",1464.9723707613,0
"Zambia",1557.76108871054,0
"Mauritius",1275.51254683458,0
"Tanzania",1428.1489564475,0
"Iran",1808.95443861842,1
"Djibouti",1084.850908228,0
"Congo DR",1613.56578068528,0
"Vietnam",1505.33254704859,0
"Macau",1118.74893354113,0
"Ethiopia",1430.87807554962,0
"Puerto Rico",1286.69301358053,0
"Reunion",1564.67005057171,0
"Sierra Leone",1464.64722950202,0
"Zanzibar",1447.83816104673,0
"Korea Republic",1732.24880360118,1
"Ghana",1664.8392621994,0
"South Africa",1597.97658630305,0
"New Caledonia",1547.25082531036,0
"Fiji",1501.06675364599,0
"Nigeria",1698.25087291004,1
"Venezuela",1688.9289106735,0
"Burma",1358.44038566765,0
"Sri Lanka",1080.36178455744,0
"Tahiti",1540.57820655477,0
"Gambia",1412.33582928006,0
"Hong Kong",1414.38426859163,0
"Singapore",1292.84720120959,0
"Malaysia",1318.52907326492,0
"Indonesia",1443.6354323489,0
"Guinea-Bissau",1370.14871076895,0
"German DR",1686.10042972063,0
"Vanuatu",1559.44076975574,0
"Saarland",1450.49802160128,0
"Cambodia",1172.69879750868,0
"Lebanon",1550.25027484882,0
"Pakistan",1206.26428358977,0
"Vietnam Republic",1435.47959379317,0
"Korea DPR",1581.47389520684,0
"Togo",1467.88756235314,0
"Sudan",1354.82824029798,0
"Malta",1297.48394135041,0
"Syria",1629.98746715037,0
"Tunisia",1693.31852431512,1
"Malawi",1431.65563868629,0
"Morocco",1749.51351490554,1
"Benin",1519.35357505317,0
"Cameroon",1666.72829551081,0
"Central African Republic",1433.59055340972,0
"Gabon",1477.93697088699,0
"Ivory Coast",1648.81599452957,0
"Congo",1475.6548212117,0
"Mali",1580.34745344776,0
"North Vietnam",1463.49587958452,0
"Mongolia",1183.44491061834,0
"Taiwan",1312.00077565862,0
"Cyprus",1442.01144523027,0
"Iraq",1640.36823640724,0
"St. Lucia",1308.88151722121,0
"Grenada",1327.17994017315,0
"Thailand",1548.35303375109,0
"Senegal",1741.22919074149,1
"Libya",1518.10584780626,0
"Guinea",1539.71908989987,0
"Algeria",1611.88882640186,0
"Kuwait",1527.07071901011,0
"Jordan",1569.48966632458,0
"Solomon Islands",1486.96221180005,0
"Liberia",1400.71471689344,0
"Laos",1148.98274444737,0
"St. Vincent and the Grenadines",1449.34913810705,0
"Bermuda",1391.34366070254,0
"Niger",1452.82575736359,0
"Bahrain",1550.15946025315,0
"Montenegro",1575.45704922405,0
"Palestine",1515.41281058234,0
"Papua New Guinea",1386.14577822392,0
"Burkina Faso",1602.09953996464,0
"Mauritania",1428.17848003837,0
"Saudi Arabia",1646.60972908679,1
"Swaziland",1391.49550515242,0
"Somalia",1102.13308184504,0
"Lesotho",1360.51025616858,0
"Cook Islands",1337.96717859653,0
"Qatar",1586.31726670591,0
"Antigua and Barbuda",1418.96413458383,0
"Faroe Islands",1338.9482542116,0
"Bangladesh",1174.37538019273,0
"Oman",1626.11065536631,0
"Yemen DPR",1404.55925477321,0
"Burundi",1420.48765626493,0
"Yemen",1356.97327421939,0
"Mozambique",1455.06972897356,0
"Chad",1386.30186355862,0
"Angola",1427.55445961626,0
"Dominican Republic",1463.18518943527,0
"Seychelles",1179.89100893212,0
"Rwanda",1442.98379233118,0
"Sao Tome and Principe",1314.63790096228,0
"Botswana",1462.37068816119,0
"Northern Cyprus",1502.78386511688,0
"Cape Verde",1553.2431506609,0
"Kyrgyzstan",1427.85220142518,0
"Georgia",1567.47166485816,0
"Azerbaijan",1460.06806681427,0
"Guam",1267.21654870337,0
"Kiribati",1366.6764032951,0
"Tonga",1273.004987743,0
"Wallis Islands and Futuna",1341.6235676617,0
"United Arab Emirates",1648.44227984527,0
"Brunei",1058.83651303303,0
"Equatorial Guinea",1423.78104883524,0
"Liechtenstein",1220.42557664915,0
"Nepal",1201.37255423472,0
"Greenland",1363.25194659417,0
"Niue",1472.43505672804,0
"American Samoa",1244.52512156862,0
"Samoa",1350.56851948153,0
"Belize",1332.61214921029,0
"Anguilla",1123.82288296769,0
"Cayman Islands",1256.68562029815,0
"Palau",1463.18485236919,0
"Sint Maarten",1407.65801045837,0
"Namibia",1488.6982093956,0
"St. Martin",1293.09899373498,0
"San Marino",1058.35590997114,0
"Slovenia",1603.08780128745,0
"Moldova",1366.23952546477,0
"Ukraine",1774.23998425208,0
"Kazakhstan",1436.42847267347,0
"Tajikistan",1413.97438384211,0
"Uzbekistan",1647.08503971415,0
"Turkmenistan",1406.52846901999,0
"Armenia",1498.02984421266,0
"Czech Republic",1690.36835023899,0
"Guernsey",1442.42349858534,0
"Macedonia",1551.42507789604,0
"Jersey",1571.07863524672,0
"Montserrat",1245.64893794296,0
"Serbia",1713.89281645606,1
"Bosnia-Herzegovina",1735.57058011796,0
"Maldives",1234.04661404143,0
"Andorra",1161.91139367162,0
"British Virgin Islands",1152.05905815076,0
"Virgin Islands",1214.33759446582,0
"Eritrea",1266.23635622034,0
"Bahamas",1378.49362587481,0
"Micronesia FS",1422.9841033092,0
"Bhutan",1033.63704083452,0
"Monaco",1512.73441385082,0
"Gibraltar",1356.55839508547,0
"Tuvalu",1377.35312312442,0
"Mayotte",1418.50236081129,0
"Turks and Caicos Islands",1332.00471022781,0
"East Timor",1048.67509125367,0
"Kosovo",1543.68850567866,0
"Northern Mariana Islands",1187.51475723919,0
"Comoros",1318.82684928635,0
"Bonaire",1398.39235334754,0
"South Sudan",1320.55026703812,0
"St. Pierre & Miquelon",1396.32968588661,0
"Western Australia",1401.17169996365,0
"Tibet",1404.67747775123,0
"Vatican",1470.38916290625,0
